id,question,value,milliseconds,created,nquestions,expert_id,object_id
59,EB,false,3609,2017-03-01 15:11:37.390153+00,4,4,187
60,CEP,false,3148,2017-03-01 15:11:41.194312+00,3,4,248
61,LPV,false,19937,2017-03-01 15:12:01.901033+00,1,4,806
62,CEP,false,2639,2017-03-01 15:12:05.243745+00,4,4,544
63,EB,true,8865,2017-03-01 15:12:14.774094+00,4,4,551
64,CEP,false,3985,2017-03-01 15:12:19.540765+00,4,4,497
65,EB,false,2217,2017-03-01 15:12:22.478962+00,3,4,282
66,CEP,false,7561,2017-03-01 15:12:30.719493+00,4,4,630
67,CEP,false,33410,2017-03-01 15:13:04.804538+00,3,4,659
68,CEP,false,3255,2017-03-01 15:13:08.839517+00,3,4,637
69,EB,false,6545,2017-03-01 15:13:16.049948+00,4,4,218
70,CEP,false,6883,2017-03-01 15:13:23.573803+00,3,4,499
71,RRLYR,true,3219,2017-03-01 15:13:27.457083+00,3,4,282
72,EB,false,27368,2017-03-01 15:13:55.519134+00,3,4,16
73,CEP,false,5774,2017-03-01 15:14:02.024188+00,4,4,645
74,CEP,true,13920,2017-03-01 15:14:16.870242+00,4,4,717
75,CEP,false,3235,2017-03-01 15:14:20.826534+00,2,4,56
76,CEP,false,4353,2017-03-01 15:14:25.790127+00,3,4,288
77,CEP,false,44968,2017-03-01 15:15:11.504676+00,4,4,266
78,CEP,false,2643,2017-03-01 15:15:14.850005+00,4,4,191
79,EB,false,16942,2017-03-01 15:15:32.555485+00,2,4,744
80,LPV,false,3039,2017-03-01 15:15:36.326157+00,4,4,187
81,CEP,false,1487,2017-03-01 15:15:38.481078+00,4,4,79
82,EB,false,4825,2017-03-01 15:15:44.34802+00,3,4,499
83,RRLYR,false,1900,2017-03-01 15:15:46.952461+00,2,4,56
84,CEP,false,6779,2017-03-01 15:15:54.432285+00,4,4,483
85,EB,false,1043,2017-03-01 15:15:56.180222+00,4,4,79
86,EB,false,2072,2017-03-01 15:15:59.354565+00,4,4,483
87,LPV,false,4116,2017-03-01 15:16:04.195145+00,4,4,551
88,LPV,false,1005,2017-03-01 15:16:05.915479+00,4,4,79
89,EB,false,18960,2017-03-01 15:16:25.590953+00,2,4,371
90,EB,false,3919,2017-03-01 15:16:30.283563+00,2,4,340
91,LPV,true,2308,2017-03-01 15:16:33.417958+00,4,4,483
92,EB,true,2549,2017-03-01 15:16:36.661001+00,2,4,703
93,LPV,true,2271,2017-03-01 15:16:39.656323+00,3,4,16
94,EB,false,2792,2017-03-01 15:16:43.193006+00,4,4,191
95,CEP,false,3277,2017-03-01 15:16:47.856223+00,4,4,625
96,LPV,false,2935,2017-03-01 15:16:51.467748+00,1,4,238
97,LPV,false,3330,2017-03-01 15:16:55.615154+00,3,4,39
98,CEP,true,10125,2017-03-01 15:17:06.553439+00,4,4,727
99,CEP,true,9721,2017-03-01 15:17:17.023884+00,4,4,88
100,EB,true,6302,2017-03-01 15:17:24.157847+00,2,4,172
101,EB,false,3043,2017-03-01 15:17:27.866502+00,3,4,663
102,CEP,false,2919,2017-03-01 15:17:32.487438+00,4,4,818
103,EB,false,3085,2017-03-01 15:17:36.393045+00,4,4,497
104,EB,false,1411,2017-03-01 15:17:38.554715+00,4,4,625
105,RRLYR,true,1423,2017-03-01 15:17:40.792943+00,4,4,625
106,EB,false,3015,2017-03-01 15:17:44.534092+00,4,4,88
107,EB,false,3719,2017-03-01 15:17:48.966365+00,1,4,90
108,EB,false,11837,2017-03-01 15:18:01.552485+00,2,4,57
109,RRLYR,false,2311,2017-03-01 15:18:04.655547+00,2,4,703
110,CEP,false,4610,2017-03-01 15:18:10.026442+00,3,4,180
113,RRLYR,false,5316,2017-03-01 15:18:30.539351+00,1,4,763
114,EB,false,3551,2017-03-01 15:18:34.941658+00,4,4,727
116,CEP,false,2290,2017-03-01 15:18:41.058512+00,4,4,270
117,EB,false,1899,2017-03-01 15:18:44.369495+00,4,4,266
118,LPV,false,9374,2017-03-01 15:18:54.564945+00,3,4,718
119,CEP,false,2199,2017-03-01 15:18:57.537503+00,1,4,590
122,RRLYR,false,2221,2017-03-01 15:19:07.268823+00,4,4,497
123,RRLYR,false,2177,2017-03-01 15:19:10.212227+00,3,4,39
125,CEP,false,7240,2017-03-01 15:19:22.657389+00,4,4,629
126,CEP,true,4901,2017-03-01 15:19:29.376623+00,3,4,502
127,RRLYR,false,2227,2017-03-01 15:19:32.395854+00,3,4,16
873,RRLYR,true,2677,2017-03-06 15:52:04.002529+00,3,12,601
875,CEP,false,2404,2017-03-06 15:53:08.56791+00,4,12,203
876,CEP,true,5086,2017-03-06 15:53:14.426937+00,3,12,26
877,LPV,false,124586,2017-03-06 15:55:19.958281+00,3,12,579
880,CEP,false,2540,2017-03-06 15:55:44.155896+00,4,12,7
881,CEP,false,2085,2017-03-06 15:55:47.088978+00,4,12,351
882,EB,false,1967,2017-03-06 15:55:50.371948+00,4,12,351
883,CEP,false,2192,2017-03-06 15:55:53.337363+00,4,12,704
887,EB,false,5126,2017-03-06 15:56:13.803291+00,4,12,606
888,CEP,false,5672,2017-03-06 15:56:20.342415+00,2,12,583
890,EB,false,1612,2017-03-06 15:56:27.818592+00,4,12,359
891,EB,false,2498,2017-03-06 15:56:31.361907+00,2,12,701
1037,CEP,false,9111,2017-03-06 16:26:37.448104+00,2,14,201
1039,EB,false,2680,2017-03-06 16:26:47.368379+00,4,14,689
1040,CEP,false,21713,2017-03-06 16:27:09.747012+00,4,14,636
1041,EB,true,2900,2017-03-06 16:27:13.332345+00,4,14,636
1046,CEP,false,3290,2017-03-06 16:27:44.018281+00,3,14,392
1051,LPV,false,4985,2017-03-06 16:28:03.715079+00,4,14,636
1052,LPV,false,13768,2017-03-06 16:28:18.069469+00,3,14,666
1053,EB,false,1951,2017-03-06 16:28:20.655534+00,4,14,701
1055,CEP,false,3170,2017-03-06 16:28:53.841167+00,4,14,192
1056,CEP,false,1211,2017-03-06 16:28:55.707627+00,4,14,131
1057,CEP,false,1985,2017-03-06 16:28:58.315402+00,3,14,799
1058,RRLYR,false,23788,2017-03-06 16:29:22.717977+00,4,14,371
1059,EB,false,3244,2017-03-06 16:29:26.744914+00,4,14,506
1062,LPV,false,2439,2017-03-06 16:29:36.96543+00,3,14,128
1064,CEP,false,36674,2017-03-06 16:30:16.45112+00,3,14,282
1065,EB,false,12973,2017-03-06 16:30:30.158548+00,3,14,394
1066,CEP,false,1562,2017-03-06 16:30:32.534352+00,4,14,541
1069,LPV,true,1664,2017-03-06 16:30:39.184362+00,4,14,549
1072,CEP,false,2301,2017-03-06 16:30:52.872321+00,3,14,532
1074,RRLYR,false,3168,2017-03-06 16:30:59.310344+00,3,14,666
1220,CEP,false,8076,2017-03-07 20:23:01.547911+00,2,6,504
1222,EB,false,14485,2017-03-07 20:23:21.661082+00,4,6,135
1224,RRLYR,false,1495,2017-03-07 20:23:34.766789+00,3,6,483
1225,EB,false,15546,2017-03-07 20:23:51.84445+00,4,6,209
1227,LPV,false,3952,2017-03-07 20:24:01.175381+00,4,6,358
1230,LPV,true,7969,2017-03-07 20:24:43.757431+00,3,6,266
1231,EB,false,22544,2017-03-07 20:25:08.097069+00,4,6,307
1232,RRLYR,false,2328,2017-03-07 20:25:11.912245+00,3,6,688
1233,EB,false,1977,2017-03-07 20:25:15.78557+00,1,6,51
1235,CEP,false,2483,2017-03-07 20:25:23.70074+00,3,6,384
1236,RRLYR,false,1115,2017-03-07 20:25:26.494908+00,4,6,173
1241,CEP,false,2680,2017-03-07 20:25:44.958996+00,2,6,544
1243,EB,false,3884,2017-03-07 20:26:02.869185+00,4,6,306
1244,LPV,false,4500,2017-03-07 20:26:08.985915+00,4,6,327
1312,EB,true,2111,2017-03-08 19:30:14.699202+00,3,6,705
1315,EB,false,2587,2017-03-08 19:30:52.189403+00,1,6,353
1318,EB,false,2686,2017-03-08 19:31:13.282253+00,2,6,799
1320,RRLYR,false,2328,2017-03-08 19:31:40.602981+00,1,6,388
1321,LPV,false,6858,2017-03-08 19:31:50.84064+00,4,6,307
1324,LPV,false,5835,2017-03-08 19:32:49.285273+00,4,6,116
1326,RRLYR,false,1902,2017-03-08 19:33:13.257591+00,4,6,116
1327,RRLYR,true,5157,2017-03-08 19:33:29.968239+00,4,6,712
1330,LPV,true,10232,2017-03-08 19:34:14.01425+00,4,6,306
1333,RRLYR,false,14593,2017-03-08 19:35:02.728919+00,2,6,157
1334,CEP,true,6023,2017-03-08 19:35:22.035255+00,4,6,700
1335,EB,false,4870,2017-03-08 19:35:30.977977+00,4,6,554
1337,LPV,true,6067,2017-03-08 19:35:53.873304+00,2,6,532
1338,RRLYR,true,7460,2017-03-08 19:36:12.366839+00,4,6,327
1341,CEP,true,4370,2017-03-08 19:37:41.849235+00,3,6,813
1342,RRLYR,false,2731,2017-03-08 19:37:57.057817+00,4,6,554
1382,LPV,false,13891,2017-03-09 18:34:38.982424+00,3,17,27
1383,CEP,false,124767,2017-03-09 18:36:44.710883+00,3,17,572
1385,EB,false,3500,2017-03-09 18:36:53.568266+00,2,17,300
1386,LPV,false,17354,2017-03-09 18:37:11.49668+00,2,17,722
1390,EB,false,22141,2017-03-09 18:40:09.97781+00,1,17,813
1391,EB,false,8873,2017-03-09 18:40:19.598433+00,4,17,366
1393,CEP,false,19555,2017-03-09 18:41:37.315967+00,2,17,447
1495,LPV,false,22801,2017-03-09 20:01:19.294256+00,3,6,8
1496,EB,true,3223,2017-03-09 20:01:25.180723+00,3,6,118
1497,RRLYR,false,2402,2017-03-09 20:01:31.752093+00,3,6,315
1498,RRLYR,false,3769,2017-03-09 20:01:38.910317+00,4,6,763
1500,EB,true,14729,2017-03-09 20:02:04.73938+00,3,6,743
1548,CEP,true,10954,2017-03-09 21:39:33.439175+00,4,8,601
1552,LPV,false,9010,2017-03-09 21:40:00.901774+00,1,8,704
1553,CEP,false,4315,2017-03-09 21:40:05.92657+00,4,8,447
1555,EB,false,7729,2017-03-09 21:40:20.93123+00,3,8,505
1556,CEP,false,7749,2017-03-09 21:40:29.208659+00,3,8,181
1558,EB,true,4485,2017-03-09 21:40:37.893741+00,3,8,766
1560,CEP,false,11261,2017-03-09 21:40:54.190974+00,3,8,456
1567,EB,false,6520,2017-03-09 21:41:44.014792+00,4,8,601
1678,CEP,false,3129,2017-03-10 16:56:50.643062+00,2,8,180
1679,CEP,false,3413,2017-03-10 16:56:54.641745+00,3,8,522
1680,EB,false,3973,2017-03-10 16:56:59.073453+00,2,8,369
1681,CEP,false,11916,2017-03-10 16:57:11.446214+00,4,8,659
1682,EB,false,2719,2017-03-10 16:57:14.678788+00,4,8,506
1684,EB,false,3499,2017-03-10 16:57:36.823598+00,2,8,507
1685,LPV,true,2705,2017-03-10 16:57:40.062287+00,3,8,522
1686,CEP,false,6626,2017-03-10 16:57:47.168364+00,4,8,824
1687,EB,false,108544,2017-03-10 16:59:36.286335+00,2,8,16
1688,EB,false,5772,2017-03-10 16:59:42.550472+00,2,8,801
111,CEP,true,2712,2017-03-01 15:18:14.365184+00,3,4,718
112,CEP,false,3114,2017-03-01 15:18:24.485991+00,3,4,0
115,LPV,true,2280,2017-03-01 15:18:38.014395+00,4,4,497
120,LPV,false,3449,2017-03-01 15:19:01.712292+00,2,4,744
121,LPV,false,1762,2017-03-01 15:19:04.259641+00,4,4,218
124,EB,true,3672,2017-03-01 15:19:14.659706+00,4,4,544
128,CEP,true,700818,2017-03-01 19:20:12.076113+00,3,6,99
129,CEP,false,85645,2017-03-01 19:21:39.357003+00,4,6,733
130,CEP,true,21069,2017-03-01 19:22:01.718942+00,4,6,609
131,CEP,false,92227,2017-03-01 19:23:34.715215+00,4,6,173
132,EB,true,22237,2017-03-01 19:23:57.950143+00,4,6,609
133,CEP,false,230508,2017-03-01 19:25:57.044779+00,4,6,193
134,EB,false,13570,2017-03-01 19:26:12.159631+00,2,6,462
135,CEP,true,197332,2017-03-01 19:29:30.84467+00,3,6,686
136,EB,false,16605,2017-03-01 19:29:48.008362+00,2,6,532
137,CEP,false,82820,2017-03-01 19:31:12.333671+00,4,6,0
138,CEP,false,6980,2017-03-01 19:31:19.82183+00,4,6,525
139,EB,false,5097,2017-03-01 19:31:25.844458+00,4,6,193
140,CEP,false,14615,2017-03-01 19:31:41.314038+00,3,6,427
141,CEP,false,14827,2017-03-01 19:31:56.690861+00,4,6,408
142,EB,true,2667,2017-03-01 19:31:59.883784+00,4,6,525
143,LPV,false,18705,2017-03-01 19:32:19.11749+00,4,6,525
144,EB,true,41061,2017-03-01 19:33:00.701893+00,3,6,789
145,CEP,false,103898,2017-03-01 19:34:45.323084+00,3,6,290
146,CEP,false,6085,2017-03-01 19:34:52.380617+00,1,6,393
147,CEP,false,18230,2017-03-01 19:35:11.145933+00,3,6,597
148,CEP,false,4880,2017-03-01 19:35:16.596767+00,4,6,383
149,EB,false,14327,2017-03-01 19:35:31.497293+00,3,6,686
150,CEP,true,33903,2017-03-01 19:36:06.015852+00,4,6,358
151,EB,false,42263,2017-03-01 19:36:48.842248+00,4,6,733
152,LPV,false,22415,2017-03-01 19:37:11.79323+00,4,6,193
153,CEP,true,6372,2017-03-01 19:37:18.700042+00,4,6,729
154,EB,true,68452,2017-03-01 19:38:28.190885+00,2,6,112
155,EB,false,8649,2017-03-01 19:38:37.385674+00,3,6,427
156,LPV,false,7848,2017-03-01 19:38:45.903042+00,3,6,686
157,LPV,false,3649,2017-03-01 19:38:50.455722+00,1,6,39
158,EB,false,54283,2017-03-01 19:39:45.308693+00,1,6,514
159,CEP,false,9771,2017-03-01 19:39:55.630658+00,4,6,692
160,RRLYR,false,2577,2017-03-01 19:39:58.751748+00,4,6,525
161,CEP,false,9345,2017-03-01 19:40:08.689906+00,4,6,550
162,CEP,true,198383,2017-03-01 19:43:27.787035+00,4,6,57
163,EB,true,7979,2017-03-01 19:43:36.471218+00,2,6,765
164,CEP,false,10315,2017-03-01 19:43:47.376196+00,4,6,244
165,CEP,false,5891,2017-03-01 19:43:53.818943+00,2,6,372
166,CEP,true,63015,2017-03-01 19:44:57.489625+00,3,6,185
167,LPV,false,3291,2017-03-01 19:45:01.324337+00,3,6,789
168,CEP,false,10027,2017-03-01 19:45:11.935034+00,4,6,379
169,EB,false,8680,2017-03-01 19:45:21.772966+00,4,6,729
170,CEP,false,6623,2017-03-01 19:45:29.810816+00,3,6,777
171,EB,true,48627,2017-03-01 19:46:19.125488+00,4,6,358
172,CEP,true,8203,2017-03-01 19:46:27.999964+00,3,6,507
173,CEP,false,6902,2017-03-01 19:46:35.583248+00,4,6,498
174,CEP,false,12610,2017-03-01 19:46:48.921378+00,3,6,522
175,EB,false,31976,2017-03-01 19:47:21.474727+00,4,6,498
176,EB,true,3792,2017-03-01 19:47:25.995909+00,4,6,379
177,CEP,false,33314,2017-03-01 19:48:00.009381+00,2,6,437
178,CEP,false,4995,2017-03-01 19:48:05.616365+00,3,6,406
179,CEP,false,8299,2017-03-01 19:48:15.018189+00,4,6,818
180,EB,false,3090,2017-03-01 19:48:18.795398+00,4,6,408
181,EB,false,10723,2017-03-01 19:48:30.169221+00,1,6,732
182,EB,false,1922,2017-03-01 19:48:32.789674+00,3,6,406
183,CEP,false,3967,2017-03-01 19:48:37.43796+00,2,6,192
184,LPV,false,2357,2017-03-01 19:48:40.523127+00,4,6,729
185,RRLYR,false,19563,2017-03-01 19:49:00.668295+00,2,6,765
186,CEP,true,6624,2017-03-01 19:49:07.895898+00,4,6,171
187,LPV,false,22161,2017-03-01 19:49:31.027251+00,3,6,406
188,LPV,true,3848,2017-03-01 19:49:35.438048+00,4,6,733
189,CEP,true,5236,2017-03-01 19:49:41.255643+00,4,6,209
190,LPV,false,2745,2017-03-01 19:49:44.591043+00,4,6,408
191,CEP,false,17210,2017-03-01 19:50:02.387768+00,4,6,554
192,CEP,false,4309,2017-03-01 19:50:07.262776+00,3,6,487
193,EB,false,4532,2017-03-01 19:50:12.384018+00,3,6,597
194,EB,false,23531,2017-03-01 19:50:36.512546+00,4,6,171
195,CEP,true,6200,2017-03-01 19:50:43.330111+00,4,6,763
196,CEP,true,3309,2017-03-01 19:50:47.257271+00,4,6,728
197,CEP,false,7108,2017-03-01 19:50:55.314495+00,4,6,201
198,EB,false,2338,2017-03-01 19:50:58.264992+00,4,6,0
199,EB,false,4163,2017-03-01 19:51:03.370153+00,4,6,692
200,CEP,false,75528,2017-03-01 19:52:19.658377+00,2,6,641
201,LPV,false,3655,2017-03-01 19:52:23.945557+00,3,6,507
202,EB,false,1715,2017-03-01 19:52:26.268505+00,4,6,550
203,CEP,true,11080,2017-03-01 19:53:16.787712+00,3,6,688
204,EB,true,4160,2017-03-01 19:53:21.539896+00,3,6,487
205,CEP,true,32759,2017-03-01 19:53:55.235818+00,4,6,712
206,RRLYR,true,6430,2017-03-01 19:54:02.647394+00,4,6,408
207,EB,false,2305,2017-03-01 19:54:05.573356+00,4,6,712
208,LPV,false,1479,2017-03-01 19:54:07.668101+00,2,6,641
209,EB,false,7196,2017-03-01 19:54:15.459857+00,4,6,728
210,CEP,true,3272,2017-03-01 19:54:19.723894+00,4,6,64
211,CEP,false,2846,2017-03-01 19:54:23.539027+00,4,6,602
212,LPV,false,2182,2017-03-01 19:54:26.331673+00,4,6,0
213,EB,false,6121,2017-03-01 19:54:33.118554+00,1,6,336
214,EB,false,8677,2017-03-01 19:54:42.503+00,2,6,346
215,EB,false,3419,2017-03-01 19:54:46.963813+00,4,6,818
216,LPV,false,3547,2017-03-01 19:54:51.117372+00,4,6,379
217,LPV,false,12001,2017-03-01 19:55:04.118147+00,4,6,818
218,RRLYR,true,4885,2017-03-01 19:55:09.644669+00,4,6,0
219,CEP,false,5488,2017-03-01 19:55:17.250747+00,4,6,786
220,RRLYR,true,6912,2017-03-01 19:55:25.28781+00,4,6,818
221,LPV,false,2938,2017-03-01 19:55:29.118744+00,4,6,550
222,EB,false,2420,2017-03-01 19:55:32.168129+00,3,6,85
223,CEP,false,16149,2017-03-01 19:55:49.690208+00,4,6,243
224,LPV,true,5228,2017-03-01 19:55:55.509445+00,1,6,549
225,RRLYR,false,10007,2017-03-01 19:56:06.517471+00,3,6,789
226,CEP,false,3744,2017-03-01 19:56:10.878771+00,3,6,417
227,LPV,false,4908,2017-03-01 19:56:16.4238+00,2,6,708
229,CEP,false,2717,2017-03-01 19:56:22.297316+00,4,6,303
874,EB,false,10408,2017-03-06 15:53:05.199834+00,3,12,169
878,CEP,false,2306,2017-03-06 15:55:37.945281+00,2,12,191
879,LPV,false,1889,2017-03-06 15:55:40.689275+00,3,12,708
884,CEP,false,2262,2017-03-06 15:56:00.505994+00,2,12,216
885,RRLYR,false,2022,2017-03-06 15:56:03.536304+00,4,12,729
886,CEP,false,3327,2017-03-06 15:56:07.771595+00,3,12,671
1076,LPV,false,2283,2017-03-06 16:31:04.590691+00,3,14,227
1080,CEP,true,28602,2017-03-06 16:31:50.882763+00,4,14,45
1081,LPV,false,2430,2017-03-06 16:31:54.152455+00,4,14,701
1082,LPV,true,3261,2017-03-06 16:31:58.133869+00,1,14,786
1083,EB,false,12691,2017-03-06 16:32:11.752532+00,3,14,395
1089,LPV,false,3838,2017-03-06 16:33:00.128279+00,4,14,347
1091,LPV,false,2846,2017-03-06 16:33:16.542871+00,4,14,269
1093,RRLYR,false,2068,2017-03-06 16:33:22.220998+00,4,14,78
1094,RRLYR,false,7187,2017-03-06 16:33:30.254568+00,1,14,87
1095,EB,false,22018,2017-03-06 16:33:53.079083+00,3,14,166
1098,LPV,false,2862,2017-03-06 16:34:47.642162+00,1,14,317
1100,CEP,false,24070,2017-03-06 16:35:17.963489+00,2,14,592
1101,RRLYR,false,1515,2017-03-06 16:35:20.315899+00,2,14,592
1104,CEP,true,3976,2017-03-06 16:36:06.446688+00,1,14,436
1107,CEP,true,6386,2017-03-06 16:36:22.934453+00,2,14,717
1108,LPV,false,2472,2017-03-06 16:36:26.370633+00,4,14,425
1111,RRLYR,false,9462,2017-03-06 16:36:49.841576+00,4,14,502
1115,LPV,false,3422,2017-03-06 16:37:15.376295+00,3,14,799
1124,LPV,false,3242,2017-03-07 20:01:59.341994+00,3,6,242
1125,CEP,false,4984,2017-03-07 20:02:38.327476+00,3,6,93
1127,RRLYR,false,29731,2017-03-07 20:03:23.021375+00,4,6,747
1128,RRLYR,false,2930,2017-03-07 20:03:45.825554+00,1,6,775
1129,CEP,true,13337,2017-03-07 20:04:04.271754+00,4,6,575
1130,EB,false,21427,2017-03-07 20:04:34.086434+00,3,6,93
1131,RRLYR,true,2981,2017-03-07 20:05:03.085287+00,3,6,242
1133,EB,false,3320,2017-03-07 20:05:17.645361+00,3,6,128
1134,LPV,false,4644,2017-03-07 20:05:26.841453+00,3,6,93
1136,RRLYR,true,2798,2017-03-07 20:05:46.788792+00,3,6,79
1138,CEP,true,8487,2017-03-07 20:06:06.536056+00,1,6,22
1145,CEP,false,2102,2017-03-07 20:06:56.365324+00,4,6,590
1146,RRLYR,true,2860,2017-03-07 20:07:04.572405+00,1,6,143
1147,EB,false,8952,2017-03-07 20:07:17.545318+00,4,6,201
1148,CEP,true,37955,2017-03-07 20:07:58.61611+00,3,6,359
1149,EB,false,13899,2017-03-07 20:08:15.071608+00,1,6,511
1150,EB,false,4453,2017-03-07 20:08:23.594823+00,3,6,359
1151,CEP,true,5735,2017-03-07 20:08:33.854175+00,4,6,166
1152,CEP,true,14415,2017-03-07 20:08:50.282028+00,2,6,744
1154,LPV,false,17592,2017-03-07 20:09:14.5676+00,4,6,201
1245,CEP,true,2494,2017-03-08 03:44:38.043658+00,4,2,628
1246,CEP,true,1543,2017-03-08 03:44:39.909743+00,4,2,822
1343,EB,false,4414,2017-03-08 19:38:08.373878+00,3,6,813
1344,LPV,false,3041,2017-03-08 19:38:15.353536+00,3,6,777
1347,EB,false,1986,2017-03-08 19:38:46.053315+00,2,6,713
1350,CEP,true,12297,2017-03-08 19:39:31.187629+00,3,6,315
1352,CEP,false,3625,2017-03-08 19:39:57.022578+00,1,6,366
1353,LPV,false,8148,2017-03-08 19:40:32.167551+00,3,6,315
1355,EB,false,5623,2017-03-08 19:40:57.939136+00,4,6,763
1357,EB,true,4827,2017-03-08 19:41:35.004318+00,3,6,8
1362,LPV,false,5847,2017-03-08 19:42:39.012502+00,4,6,629
1367,EB,false,12422,2017-03-08 19:43:47.905757+00,4,6,660
1369,CEP,false,31292,2017-03-08 19:44:37.679752+00,2,6,285
1370,LPV,false,4764,2017-03-08 19:44:48.188468+00,3,6,813
1371,CEP,false,3202,2017-03-08 19:44:55.405214+00,2,6,184
1372,EB,false,5529,2017-03-08 19:45:04.301114+00,1,6,362
1392,CEP,false,56451,2017-03-09 18:41:16.84823+00,4,17,513
1394,RRLYR,false,13005,2017-03-09 18:41:51.309898+00,2,17,722
1396,EB,true,23873,2017-03-09 18:42:54.150676+00,2,17,260
1397,RRLYR,false,192729,2017-03-09 18:46:08.136801+00,1,17,425
1400,LPV,false,2601,2017-03-09 18:46:25.681749+00,2,17,279
1402,LPV,false,2883,2017-03-09 18:46:37.121108+00,4,17,366
1403,RRLYR,true,6747,2017-03-09 18:46:44.921121+00,4,17,513
1405,CEP,false,3269,2017-03-09 18:47:17.464609+00,3,17,269
1407,RRLYR,true,6126,2017-03-09 18:47:42.047736+00,1,17,663
1409,EB,false,3880,2017-03-09 18:47:56.054798+00,3,17,499
1410,LPV,true,8672,2017-03-09 18:48:05.877278+00,3,17,499
1499,RRLYR,true,6046,2017-03-09 20:01:47.481071+00,3,6,312
1501,RRLYR,false,423754,2017-03-09 20:09:12.840069+00,3,6,489
1569,EB,false,1370,2017-03-10 16:49:35.101218+00,4,2,337
1570,RRLYR,true,1048,2017-03-10 16:49:36.483552+00,3,2,185
1573,LPV,false,1039,2017-03-10 16:49:40.905203+00,4,2,353
1574,EB,false,1009,2017-03-10 16:49:42.425288+00,3,2,255
1575,LPV,false,2478,2017-03-10 16:49:45.368949+00,4,2,337
1576,RRLYR,false,1129,2017-03-10 16:49:46.924225+00,2,2,349
